timestamp,sensor_id,temperature_c
2026-04-09 11:30:08.969145,SENSOR_1,60.6
2026-04-09 11:30:08.969145,SENSOR_2,59.83
2026-04-09 11:30:08.969145,SENSOR_3,60.78
2026-04-09 11:30:08.969145,SENSOR_4,61.83
2026-04-09 11:30:08.969145,SENSOR_5,59.72
2026-04-09 11:30:08.969145,SENSOR_6,59.72
2026-04-09 11:30:08.969145,SENSOR_7,61.9
2026-04-09 11:30:08.969145,SENSOR_8,60.92
2026-04-09 11:30:08.969145,SENSOR_9,59.44
2026-04-09 11:30:08.969145,SENSOR_10,60.65
2026-04-09 11:30:08.969145,SENSOR_11,59.44
2026-04-09 11:30:08.969145,SENSOR_12,59.44
2026-04-09 11:30:08.969145,SENSOR_13,60.29
2026-04-09 11:30:08.969145,SENSOR_14,57.7
2026-04-09 11:30:08.969145,SENSOR_15,57.93
2026-04-09 11:30:08.969145,SENSOR_16,59.33
2026-04-09 11:30:08.969145,SENSOR_17,58.78
2026-04-09 11:30:08.969145,SENSOR_18,60.38
2026-04-09 11:30:08.969145,SENSOR_19,58.91
2026-04-09 11:30:08.969145,SENSOR_20,58.31
2026-04-09 11:30:08.969145,SENSOR_21,61.76
2026-04-09 11:30:08.969145,SENSOR_22,59.73
2026-04-09 11:30:08.969145,SENSOR_23,60.08
2026-04-09 11:30:08.969145,SENSOR_24,58.29
2026-04-09 11:30:08.969145,SENSOR_25,59.35
2026-04-09 11:30:08.969145,SENSOR_26,60.13
2026-04-09 11:30:08.969145,SENSOR_27,58.62
2026-04-09 11:30:08.969145,SENSOR_28,60.45
2026-04-09 11:30:08.969145,SENSOR_29,59.28
2026-04-09 11:30:08.969145,SENSOR_30,59.65
2026-04-09 11:30:08.969145,SENSOR_31,59.28
2026-04-09 11:30:08.969145,SENSOR_32,62.22
2026-04-09 11:30:08.969145,SENSOR_33,59.98
2026-04-09 11:30:08.969145,SENSOR_34,58.73
2026-04-09 11:30:08.969145,SENSOR_35,60.99
2026-04-09 11:30:08.969145,SENSOR_36,58.53
2026-04-09 11:30:08.969145,SENSOR_37,60.25
2026-04-09 11:30:08.969145,SENSOR_38,57.65
2026-04-09 11:30:08.969145,SENSOR_39,58.41
2026-04-09 11:30:08.969145,SENSOR_40,60.24
2026-04-09 11:30:08.969145,SENSOR_41,60.89
2026-04-09 11:30:08.969145,SENSOR_42,60.21
2026-04-09 11:30:08.969145,SENSOR_43,59.86
2026-04-09 11:30:08.969145,SENSOR_44,59.64
2026-04-09 11:30:08.969145,SENSOR_45,58.23
2026-04-09 11:30:08.969145,SENSOR_46,59.14
2026-04-09 11:30:08.969145,SENSOR_47,59.45
2026-04-09 11:30:08.969145,SENSOR_48,61.27
2026-04-09 11:30:08.969145,SENSOR_49,60.41
2026-04-09 11:30:08.969145,SENSOR_50,57.88
2026-04-09 11:20:08.969154,SENSOR_1,60.39
2026-04-09 11:20:08.969154,SENSOR_2,59.54
2026-04-09 11:20:08.969154,SENSOR_3,59.19
2026-04-09 11:20:08.969154,SENSOR_4,60.73
2026-04-09 11:20:08.969154,SENSOR_5,61.24
2026-04-09 11:20:08.969154,SENSOR_6,61.12
2026-04-09 11:20:08.969154,SENSOR_7,58.99
2026-04-09 11:20:08.969154,SENSOR_8,59.63
2026-04-09 11:20:08.969154,SENSOR_9,60.4
2026-04-09 11:20:08.969154,SENSOR_10,61.17
2026-04-09 11:20:08.969154,SENSOR_11,59.42
2026-04-09 11:20:08.969154,SENSOR_12,59.78
2026-04-09 11:20:08.969154,SENSOR_13,58.67
2026-04-09 11:20:08.969154,SENSOR_14,58.56
2026-04-09 11:20:08.969154,SENSOR_15,60.98
2026-04-09 11:20:08.969154,SENSOR_16,61.63
2026-04-09 11:20:08.969154,SENSOR_17,59.91
2026-04-09 11:20:08.969154,SENSOR_18,61.2
2026-04-09 11:20:08.969154,SENSOR_19,60.43
2026-04-09 11:20:08.969154,SENSOR_20,59.23
2026-04-09 11:20:08.969154,SENSOR_21,60.43
2026-04-09 11:20:08.969154,SENSOR_22,61.85
2026-04-09 11:20:08.969154,SENSOR_23,59.96
2026-04-09 11:20:08.969154,SENSOR_24,61.88
2026-04-09 11:20:08.969154,SENSOR_25,56.86
2026-04-09 11:20:08.969154,SENSOR_26,60.99
2026-04-09 11:20:08.969154,SENSOR_27,60.1
2026-04-09 11:20:08.969154,SENSOR_28,59.64
2026-04-09 11:20:08.969154,SENSOR_29,60.11
2026-04-09 11:20:08.969154,SENSOR_30,57.61
2026-04-09 11:20:08.969154,SENSOR_31,59.74
2026-04-09 11:20:08.969154,SENSOR_32,60.43
2026-04-09 11:20:08.969154,SENSOR_33,61.77
2026-04-09 11:20:08.969154,SENSOR_34,59.38
2026-04-09 11:20:08.969154,SENSOR_35,59.03
2026-04-09 11:20:08.969154,SENSOR_36,59.4
2026-04-09 11:20:08.969154,SENSOR_37,61.1
2026-04-09 11:20:08.969154,SENSOR_38,60.39
2026-04-09 11:20:08.969154,SENSOR_39,59.36
2026-04-09 11:20:08.969154,SENSOR_40,60.62
2026-04-09 11:20:08.969154,SENSOR_41,60.12
2026-04-09 11:20:08.969154,SENSOR_42,61.16
2026-04-09 11:20:08.969154,SENSOR_43,59.16
2026-04-09 11:20:08.969154,SENSOR_44,59.61
2026-04-09 11:20:08.969154,SENSOR_45,59.53
2026-04-09 11:20:08.969154,SENSOR_46,58.24
2026-04-09 11:20:08.969154,SENSOR_47,60.36
2026-04-09 11:20:08.969154,SENSOR_48,60.31
2026-04-09 11:20:08.969154,SENSOR_49,60.01
2026-04-09 11:20:08.969154,SENSOR_50,59.72
2026-04-09 11:10:08.969156,SENSOR_1,58.3
2026-04-09 11:10:08.969156,SENSOR_2,59.5
2026-04-09 11:10:08.969156,SENSOR_3,59.59
2026-04-09 11:10:08.969156,SENSOR_4,59.04
2026-04-09 11:10:08.969156,SENSOR_5,59.81
2026-04-09 11:10:08.969156,SENSOR_6,60.48
2026-04-09 11:10:08.969156,SENSOR_7,62.26
2026-04-09 11:10:08.969156,SENSOR_8,60.21
2026-04-09 11:10:08.969156,SENSOR_9,60.31
2026-04-09 11:10:08.969156,SENSOR_10,59.91
2026-04-09 11:10:08.969156,SENSOR_11,57.7
2026-04-09 11:10:08.969156,SENSOR_12,59.97
2026-04-09 11:10:08.969156,SENSOR_13,60.07
2026-04-09 11:10:08.969156,SENSOR_14,62.96
2026-04-09 11:10:08.969156,SENSOR_15,59.77
2026-04-09 11:10:08.969156,SENSOR_16,60.36
2026-04-09 11:10:08.969156,SENSOR_17,59.96
2026-04-09 11:10:08.969156,SENSOR_18,58.6
2026-04-09 11:10:08.969156,SENSOR_19,61.37
2026-04-09 11:10:08.969156,SENSOR_20,60.9
2026-04-09 11:10:08.969156,SENSOR_21,60.95
2026-04-09 11:10:08.969156,SENSOR_22,58.91
